image_id,model,pred_blue,pred_red
graph_017_n02,alibaba/qwen-3.6-35b-a3b,1,1
graph_018_n02,google/gemma-4-26b-a4b,2,0
graph_018_n02,alibaba/qwen-3.6-35b-a3b,2,0
graph_019_n02,google/gemma-4-26b-a4b,0,2
graph_019_n02,alibaba/qwen-3.6-35b-a3b,0,2
graph_020_n02,google/gemma-4-26b-a4b,0,2
graph_020_n02,alibaba/qwen-3.6-35b-a3b,0,2
graph_021_n03,google/gemma-4-26b-a4b,2,1
graph_021_n03,alibaba/qwen-3.6-35b-a3b,2,1
graph_022_n03,google/gemma-4-26b-a4b,0,3
graph_022_n03,alibaba/qwen-3.6-35b-a3b,0,3
graph_023_n03,google/gemma-4-26b-a4b,1,2
graph_023_n03,alibaba/qwen-3.6-35b-a3b,1,2
graph_024_n03,google/gemma-4-26b-a4b,1,3
graph_024_n03,alibaba/qwen-3.6-35b-a3b,1,2
graph_025_n03,google/gemma-4-26b-a4b,1,2
graph_025_n03,alibaba/qwen-3.6-35b-a3b,1,2
graph_026_n03,google/gemma-4-26b-a4b,1,2
graph_026_n03,alibaba/qwen-3.6-35b-a3b,1,2
graph_027_n03,google/gemma-4-26b-a4b,0,3
graph_027_n03,alibaba/qwen-3.6-35b-a3b,0,3
graph_028_n03,google/gemma-4-26b-a4b,3,1
graph_028_n03,alibaba/qwen-3.6-35b-a3b,2,1
graph_029_n03,google/gemma-4-26b-a4b,3,1
graph_029_n03,alibaba/qwen-3.6-35b-a3b,2,1
graph_030_n03,google/gemma-4-26b-a4b,1,2
graph_030_n03,alibaba/qwen-3.6-35b-a3b,1,2
graph_031_n04,google/gemma-4-26b-a4b,2,2
graph_031_n04,alibaba/qwen-3.6-35b-a3b,2,2
graph_032_n04,google/gemma-4-26b-a4b,1,3
graph_032_n04,alibaba/qwen-3.6-35b-a3b,1,3
graph_033_n04,google/gemma-4-26b-a4b,2,2
graph_033_n04,alibaba/qwen-3.6-35b-a3b,2,2
graph_034_n04,google/gemma-4-26b-a4b,1,3
graph_034_n04,alibaba/qwen-3.6-35b-a3b,1,3
graph_035_n04,google/gemma-4-26b-a4b,1,3
graph_035_n04,alibaba/qwen-3.6-35b-a3b,1,3
graph_036_n04,google/gemma-4-26b-a4b,2,2
graph_036_n04,alibaba/qwen-3.6-35b-a3b,2,2
graph_037_n04,google/gemma-4-26b-a4b,1,3
graph_037_n04,alibaba/qwen-3.6-35b-a3b,1,3
graph_038_n04,google/gemma-4-26b-a4b,2,2
graph_038_n04,alibaba/qwen-3.6-35b-a3b,2,2
graph_039_n04,google/gemma-4-26b-a4b,1,3
graph_039_n04,alibaba/qwen-3.6-35b-a3b,1,3
graph_040_n04,google/gemma-4-26b-a4b,2,2
graph_040_n04,alibaba/qwen-3.6-35b-a3b,2,2
graph_041_n05,google/gemma-4-26b-a4b,2,3
graph_041_n05,alibaba/qwen-3.6-35b-a3b,2,3
graph_042_n05,google/gemma-4-26b-a4b,1,4
graph_042_n05,alibaba/qwen-3.6-35b-a3b,1,4
graph_043_n05,google/gemma-4-26b-a4b,3,2
graph_043_n05,alibaba/qwen-3.6-35b-a3b,3,2
graph_044_n05,google/gemma-4-26b-a4b,2,3
graph_044_n05,alibaba/qwen-3.6-35b-a3b,2,3
graph_045_n05,google/gemma-4-26b-a4b,2,3
graph_045_n05,alibaba/qwen-3.6-35b-a3b,2,3
graph_046_n05,google/gemma-4-26b-a4b,2,4
graph_046_n05,alibaba/qwen-3.6-35b-a3b,2,4
graph_047_n05,google/gemma-4-26b-a4b,3,2
graph_047_n05,alibaba/qwen-3.6-35b-a3b,3,2
graph_048_n05,google/gemma-4-26b-a4b,1,4
graph_048_n05,alibaba/qwen-3.6-35b-a3b,1,4
graph_049_n05,google/gemma-4-26b-a4b,2,3
graph_049_n05,alibaba/qwen-3.6-35b-a3b,2,3
graph_050_n05,google/gemma-4-26b-a4b,2,3
graph_050_n05,alibaba/qwen-3.6-35b-a3b,2,3
graph_051_n06,google/gemma-4-26b-a4b,3,3
graph_051_n06,alibaba/qwen-3.6-35b-a3b,3,3
graph_052_n06,google/gemma-4-26b-a4b,3,3
graph_052_n06,alibaba/qwen-3.6-35b-a3b,3,3
graph_053_n06,google/gemma-4-26b-a4b,3,3
graph_053_n06,alibaba/qwen-3.6-35b-a3b,3,3
graph_054_n06,google/gemma-4-26b-a4b,3,3
graph_054_n06,alibaba/qwen-3.6-35b-a3b,3,3
graph_055_n06,google/gemma-4-26b-a4b,5,1
graph_055_n06,alibaba/qwen-3.6-35b-a3b,6,1
graph_056_n06,google/gemma-4-26b-a4b,2,5
graph_056_n06,alibaba/qwen-3.6-35b-a3b,2,5
graph_057_n06,google/gemma-4-26b-a4b,2,4
graph_057_n06,alibaba/qwen-3.6-35b-a3b,2,4
graph_058_n06,google/gemma-4-26b-a4b,5,1
graph_058_n06,alibaba/qwen-3.6-35b-a3b,5,1
graph_059_n06,google/gemma-4-26b-a4b,4,2
graph_059_n06,alibaba/qwen-3.6-35b-a3b,4,2
graph_060_n06,google/gemma-4-26b-a4b,4,2
graph_060_n06,alibaba/qwen-3.6-35b-a3b,4,2
graph_061_n07,google/gemma-4-26b-a4b,4,3
graph_061_n07,alibaba/qwen-3.6-35b-a3b,4,3
graph_062_n07,google/gemma-4-26b-a4b,3,4
graph_062_n07,alibaba/qwen-3.6-35b-a3b,3,4
graph_063_n07,google/gemma-4-26b-a4b,2,5
graph_063_n07,alibaba/qwen-3.6-35b-a3b,2,5
graph_064_n07,google/gemma-4-26b-a4b,4,3
graph_064_n07,alibaba/qwen-3.6-35b-a3b,4,3
graph_065_n07,google/gemma-4-26b-a4b,1,6
graph_065_n07,alibaba/qwen-3.6-35b-a3b,1,7
graph_066_n07,google/gemma-4-26b-a4b,5,2
graph_066_n07,alibaba/qwen-3.6-35b-a3b,5,2
graph_067_n07,google/gemma-4-26b-a4b,5,2
graph_067_n07,alibaba/qwen-3.6-35b-a3b,5,2
graph_068_n07,google/gemma-4-26b-a4b,2,5
graph_068_n07,alibaba/qwen-3.6-35b-a3b,2,5
graph_069_n07,google/gemma-4-26b-a4b,7,0
graph_069_n07,alibaba/qwen-3.6-35b-a3b,7,0
graph_070_n07,google/gemma-4-26b-a4b,3,4
graph_070_n07,alibaba/qwen-3.6-35b-a3b,3,4
graph_071_n08,google/gemma-4-26b-a4b,5,2
graph_071_n08,alibaba/qwen-3.6-35b-a3b,6,2
graph_072_n08,google/gemma-4-26b-a4b,4,3
graph_072_n08,alibaba/qwen-3.6-35b-a3b,5,3
graph_073_n08,google/gemma-4-26b-a4b,1,7
graph_073_n08,alibaba/qwen-3.6-35b-a3b,1,7
graph_074_n08,google/gemma-4-26b-a4b,2,6
graph_074_n08,alibaba/qwen-3.6-35b-a3b,2,6
graph_075_n08,google/gemma-4-26b-a4b,4,3
graph_075_n08,alibaba/qwen-3.6-35b-a3b,5,3
graph_076_n08,google/gemma-4-26b-a4b,6,2
graph_076_n08,alibaba/qwen-3.6-35b-a3b,6,2
graph_077_n08,google/gemma-4-26b-a4b,5,3
graph_077_n08,alibaba/qwen-3.6-35b-a3b,5,4
graph_078_n08,google/gemma-4-26b-a4b,3,5
graph_078_n08,alibaba/qwen-3.6-35b-a3b,3,6
graph_079_n08,google/gemma-4-26b-a4b,6,2
graph_079_n08,alibaba/qwen-3.6-35b-a3b,6,2
graph_080_n08,google/gemma-4-26b-a4b,7,2
graph_080_n08,alibaba/qwen-3.6-35b-a3b,6,2
graph_081_n09,google/gemma-4-26b-a4b,3,5
graph_081_n09,alibaba/qwen-3.6-35b-a3b,4,5
graph_082_n09,google/gemma-4-26b-a4b,5,4
graph_082_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_083_n09,google/gemma-4-26b-a4b,4,3
graph_083_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_084_n09,google/gemma-4-26b-a4b,6,3
graph_084_n09,alibaba/qwen-3.6-35b-a3b,6,3
graph_085_n09,google/gemma-4-26b-a4b,4,4
graph_085_n09,alibaba/qwen-3.6-35b-a3b,4,4
graph_086_n09,google/gemma-4-26b-a4b,5,4
graph_086_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_087_n09,google/gemma-4-26b-a4b,5,4
graph_087_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_088_n09,google/gemma-4-26b-a4b,4,5
graph_088_n09,alibaba/qwen-3.6-35b-a3b,4,5
graph_089_n09,google/gemma-4-26b-a4b,5,4
graph_089_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_090_n09,google/gemma-4-26b-a4b,5,4
graph_090_n09,alibaba/qwen-3.6-35b-a3b,5,4
graph_091_n10,google/gemma-4-26b-a4b,2,8
graph_091_n10,alibaba/qwen-3.6-35b-a3b,2,8
graph_092_n10,google/gemma-4-26b-a4b,5,4
graph_092_n10,alibaba/qwen-3.6-35b-a3b,5,4
graph_093_n10,google/gemma-4-26b-a4b,7,3
graph_093_n10,alibaba/qwen-3.6-35b-a3b,7,3
graph_094_n10,google/gemma-4-26b-a4b,3,7
graph_094_n10,alibaba/qwen-3.6-35b-a3b,3,7
graph_095_n10,google/gemma-4-26b-a4b,3,5
graph_095_n10,alibaba/qwen-3.6-35b-a3b,4,7
graph_096_n10,google/gemma-4-26b-a4b,4,5
graph_096_n10,alibaba/qwen-3.6-35b-a3b,5,5
graph_097_n10,google/gemma-4-26b-a4b,5,4
graph_097_n10,alibaba/qwen-3.6-35b-a3b,6,4
graph_098_n10,google/gemma-4-26b-a4b,5,4
graph_098_n10,alibaba/qwen-3.6-35b-a3b,5,4
graph_099_n10,google/gemma-4-26b-a4b,5,5
graph_099_n10,alibaba/qwen-3.6-35b-a3b,5,5
graph_100_n10,google/gemma-4-26b-a4b,1,9
graph_100_n10,alibaba/qwen-3.6-35b-a3b,1,10
graph_101_n11,google/gemma-4-26b-a4b,5,4
graph_101_n11,alibaba/qwen-3.6-35b-a3b,6,5
graph_102_n11,google/gemma-4-26b-a4b,7,4
graph_102_n11,alibaba/qwen-3.6-35b-a3b,7,3
graph_103_n11,google/gemma-4-26b-a4b,6,4
graph_103_n11,alibaba/qwen-3.6-35b-a3b,7,4
graph_104_n11,google/gemma-4-26b-a4b,3,7
graph_104_n11,alibaba/qwen-3.6-35b-a3b,4,8
graph_105_n11,google/gemma-4-26b-a4b,6,3
graph_105_n11,alibaba/qwen-3.6-35b-a3b,8,4
graph_106_n11,google/gemma-4-26b-a4b,5,6
graph_106_n11,alibaba/qwen-3.6-35b-a3b,4,6
graph_107_n11,google/gemma-4-26b-a4b,4,7
graph_107_n11,alibaba/qwen-3.6-35b-a3b,4,8
graph_108_n11,google/gemma-4-26b-a4b,6,4
graph_108_n11,alibaba/qwen-3.6-35b-a3b,7,4
graph_109_n11,google/gemma-4-26b-a4b,6,4
graph_109_n11,alibaba/qwen-3.6-35b-a3b,6,4
graph_110_n11,google/gemma-4-26b-a4b,6,4
graph_110_n11,alibaba/qwen-3.6-35b-a3b,7,4
graph_111_n12,google/gemma-4-26b-a4b,3,9
graph_111_n12,alibaba/qwen-3.6-35b-a3b,3,9
graph_112_n12,google/gemma-4-26b-a4b,7,6
graph_112_n12,alibaba/qwen-3.6-35b-a3b,6,6
graph_113_n12,google/gemma-4-26b-a4b,5,7
graph_113_n12,alibaba/qwen-3.6-35b-a3b,5,7
graph_114_n12,google/gemma-4-26b-a4b,4,7
graph_114_n12,alibaba/qwen-3.6-35b-a3b,4,8
graph_115_n12,google/gemma-4-26b-a4b,5,5
graph_115_n12,alibaba/qwen-3.6-35b-a3b,5,6
graph_116_n12,google/gemma-4-26b-a4b,6,5
graph_116_n12,alibaba/qwen-3.6-35b-a3b,7,6
graph_117_n12,google/gemma-4-26b-a4b,6,5
graph_117_n12,alibaba/qwen-3.6-35b-a3b,7,5
graph_118_n12,google/gemma-4-26b-a4b,6,5
graph_118_n12,alibaba/qwen-3.6-35b-a3b,6,5
graph_119_n12,google/gemma-4-26b-a4b,8,3
graph_119_n12,alibaba/qwen-3.6-35b-a3b,8,3
graph_120_n12,google/gemma-4-26b-a4b,5,7
graph_120_n12,alibaba/qwen-3.6-35b-a3b,5,6
graph_121_n13,google/gemma-4-26b-a4b,8,4
graph_121_n13,alibaba/qwen-3.6-35b-a3b,10,4
graph_122_n13,google/gemma-4-26b-a4b,6,6
graph_122_n13,alibaba/qwen-3.6-35b-a3b,7,6
graph_123_n13,google/gemma-4-26b-a4b,5,6
graph_123_n13,alibaba/qwen-3.6-35b-a3b,6,6
graph_124_n13,google/gemma-4-26b-a4b,7,6
graph_124_n13,alibaba/qwen-3.6-35b-a3b,7,6
graph_125_n13,google/gemma-4-26b-a4b,6,6
graph_125_n13,alibaba/qwen-3.6-35b-a3b,6,7
graph_126_n13,google/gemma-4-26b-a4b,5,7
graph_126_n13,alibaba/qwen-3.6-35b-a3b,6,7
graph_127_n13,google/gemma-4-26b-a4b,6,5
graph_127_n13,alibaba/qwen-3.6-35b-a3b,7,6
graph_128_n13,google/gemma-4-26b-a4b,7,6
graph_128_n13,alibaba/qwen-3.6-35b-a3b,7,7
graph_129_n13,google/gemma-4-26b-a4b,7,5
graph_129_n13,alibaba/qwen-3.6-35b-a3b,8,6
graph_130_n13,google/gemma-4-26b-a4b,6,5
graph_130_n13,alibaba/qwen-3.6-35b-a3b,6,6
graph_131_n14,google/gemma-4-26b-a4b,7,6
graph_131_n14,alibaba/qwen-3.6-35b-a3b,6,7
graph_132_n14,google/gemma-4-26b-a4b,6,8
graph_132_n14,alibaba/qwen-3.6-35b-a3b,7,7
graph_133_n14,google/gemma-4-26b-a4b,7,5
graph_133_n14,alibaba/qwen-3.6-35b-a3b,7,6
graph_134_n14,google/gemma-4-26b-a4b,6,7
graph_134_n14,alibaba/qwen-3.6-35b-a3b,7,7
graph_135_n14,google/gemma-4-26b-a4b,8,6
graph_135_n14,alibaba/qwen-3.6-35b-a3b,8,6
graph_136_n14,google/gemma-4-26b-a4b,6,6
graph_136_n14,alibaba/qwen-3.6-35b-a3b,7,7
graph_137_n14,google/gemma-4-26b-a4b,6,6
graph_137_n14,alibaba/qwen-3.6-35b-a3b,6,6
graph_138_n14,google/gemma-4-26b-a4b,10,2
graph_138_n14,alibaba/qwen-3.6-35b-a3b,12,3
graph_139_n14,google/gemma-4-26b-a4b,6,6
graph_139_n14,alibaba/qwen-3.6-35b-a3b,8,6
graph_140_n14,google/gemma-4-26b-a4b,8,5
graph_140_n14,alibaba/qwen-3.6-35b-a3b,8,6
graph_141_n15,google/gemma-4-26b-a4b,5,9
graph_141_n15,alibaba/qwen-3.6-35b-a3b,6,8
graph_142_n15,google/gemma-4-26b-a4b,9,4
graph_142_n15,alibaba/qwen-3.6-35b-a3b,11,4
graph_143_n15,google/gemma-4-26b-a4b,6,7
graph_143_n15,alibaba/qwen-3.6-35b-a3b,6,8
graph_144_n15,google/gemma-4-26b-a4b,7,7
graph_144_n15,alibaba/qwen-3.6-35b-a3b,8,7
graph_145_n15,google/gemma-4-26b-a4b,7,7
graph_145_n15,alibaba/qwen-3.6-35b-a3b,7,8
graph_146_n15,google/gemma-4-26b-a4b,10,4
graph_146_n15,alibaba/qwen-3.6-35b-a3b,11,4
graph_147_n15,google/gemma-4-26b-a4b,6,7
graph_147_n15,alibaba/qwen-3.6-35b-a3b,7,8
graph_148_n15,google/gemma-4-26b-a4b,6,8
graph_148_n15,alibaba/qwen-3.6-35b-a3b,6,8
graph_149_n15,google/gemma-4-26b-a4b,7,8
graph_149_n15,alibaba/qwen-3.6-35b-a3b,7,7
graph_150_n15,google/gemma-4-26b-a4b,8,7
graph_150_n15,alibaba/qwen-3.6-35b-a3b,7,7
graph_151_n16,google/gemma-4-26b-a4b,9,7
graph_151_n16,alibaba/qwen-3.6-35b-a3b,8,6
graph_152_n16,google/gemma-4-26b-a4b,5,9
graph_152_n16,alibaba/qwen-3.6-35b-a3b,6,10
graph_153_n16,google/gemma-4-26b-a4b,6,8
graph_153_n16,alibaba/qwen-3.6-35b-a3b,7,9
graph_154_n16,google/gemma-4-26b-a4b,9,7
graph_154_n16,alibaba/qwen-3.6-35b-a3b,9,7
graph_155_n16,google/gemma-4-26b-a4b,6,9
graph_155_n16,alibaba/qwen-3.6-35b-a3b,7,9
graph_156_n16,google/gemma-4-26b-a4b,5,10
graph_156_n16,alibaba/qwen-3.6-35b-a3b,6,10
graph_157_n16,google/gemma-4-26b-a4b,9,5
graph_157_n16,alibaba/qwen-3.6-35b-a3b,12,5
graph_158_n16,google/gemma-4-26b-a4b,7,7
graph_158_n16,alibaba/qwen-3.6-35b-a3b,8,7
graph_159_n16,google/gemma-4-26b-a4b,9,7
graph_159_n16,alibaba/qwen-3.6-35b-a3b,9,7
graph_160_n16,google/gemma-4-26b-a4b,6,7
graph_160_n16,alibaba/qwen-3.6-35b-a3b,7,8
graph_161_n17,google/gemma-4-26b-a4b,7,8
graph_161_n17,alibaba/qwen-3.6-35b-a3b,9,8
graph_162_n17,google/gemma-4-26b-a4b,5,11
graph_162_n17,alibaba/qwen-3.6-35b-a3b,6,11
graph_163_n17,google/gemma-4-26b-a4b,7,9
graph_163_n17,alibaba/qwen-3.6-35b-a3b,8,8
graph_164_n17,google/gemma-4-26b-a4b,9,5
graph_164_n17,alibaba/qwen-3.6-35b-a3b,10,6
graph_165_n17,google/gemma-4-26b-a4b,10,5
graph_165_n17,alibaba/qwen-3.6-35b-a3b,11,6
graph_166_n17,google/gemma-4-26b-a4b,8,8
graph_166_n17,alibaba/qwen-3.6-35b-a3b,8,8
graph_167_n17,google/gemma-4-26b-a4b,9,7
graph_167_n17,alibaba/qwen-3.6-35b-a3b,9,6
graph_168_n17,google/gemma-4-26b-a4b,11,6
graph_168_n17,alibaba/qwen-3.6-35b-a3b,11,6
graph_169_n17,google/gemma-4-26b-a4b,8,7
graph_169_n17,alibaba/qwen-3.6-35b-a3b,9,6
graph_170_n17,google/gemma-4-26b-a4b,7,7
graph_170_n17,alibaba/qwen-3.6-35b-a3b,8,8
graph_171_n18,google/gemma-4-26b-a4b,7,7
graph_171_n18,alibaba/qwen-3.6-35b-a3b,8,8
graph_172_n18,google/gemma-4-26b-a4b,8,6
graph_172_n18,alibaba/qwen-3.6-35b-a3b,10,8
graph_173_n18,google/gemma-4-26b-a4b,7,9
graph_173_n18,alibaba/qwen-3.6-35b-a3b,7,10
graph_174_n18,google/gemma-4-26b-a4b,8,7
graph_174_n18,alibaba/qwen-3.6-35b-a3b,8,9
graph_175_n18,google/gemma-4-26b-a4b,10,7
graph_175_n18,alibaba/qwen-3.6-35b-a3b,9,7
graph_176_n18,google/gemma-4-26b-a4b,7,9
graph_176_n18,alibaba/qwen-3.6-35b-a3b,8,9
graph_177_n18,google/gemma-4-26b-a4b,9,6
graph_177_n18,alibaba/qwen-3.6-35b-a3b,11,7
graph_178_n18,google/gemma-4-26b-a4b,8,9
graph_178_n18,alibaba/qwen-3.6-35b-a3b,8,10
graph_179_n18,google/gemma-4-26b-a4b,8,8
graph_179_n18,alibaba/qwen-3.6-35b-a3b,8,9
graph_180_n18,google/gemma-4-26b-a4b,7,7
graph_180_n18,alibaba/qwen-3.6-35b-a3b,9,8
graph_181_n19,google/gemma-4-26b-a4b,9,7
graph_181_n19,alibaba/qwen-3.6-35b-a3b,10,8
graph_182_n19,google/gemma-4-26b-a4b,6,12
graph_182_n19,alibaba/qwen-3.6-35b-a3b,6,12
graph_183_n19,google/gemma-4-26b-a4b,10,8
graph_183_n19,alibaba/qwen-3.6-35b-a3b,11,7
graph_184_n19,google/gemma-4-26b-a4b,6,11
graph_184_n19,alibaba/qwen-3.6-35b-a3b,7,12
graph_185_n19,google/gemma-4-26b-a4b,7,9
graph_185_n19,alibaba/qwen-3.6-35b-a3b,8,10
graph_186_n19,google/gemma-4-26b-a4b,5,13
graph_186_n19,alibaba/qwen-3.6-35b-a3b,4,16
graph_187_n19,google/gemma-4-26b-a4b,9,8
graph_187_n19,alibaba/qwen-3.6-35b-a3b,9,8
graph_188_n19,google/gemma-4-26b-a4b,6,10
graph_188_n19,alibaba/qwen-3.6-35b-a3b,7,10
graph_189_n19,google/gemma-4-26b-a4b,8,9
graph_189_n19,alibaba/qwen-3.6-35b-a3b,8,9
graph_190_n19,google/gemma-4-26b-a4b,8,10
graph_190_n19,alibaba/qwen-3.6-35b-a3b,7,10
graph_191_n20,google/gemma-4-26b-a4b,10,9
graph_191_n20,alibaba/qwen-3.6-35b-a3b,11,9
graph_192_n20,google/gemma-4-26b-a4b,9,8
graph_192_n20,alibaba/qwen-3.6-35b-a3b,9,8
graph_193_n20,google/gemma-4-26b-a4b,10,7
graph_193_n20,alibaba/qwen-3.6-35b-a3b,11,8
graph_194_n20,google/gemma-4-26b-a4b,6,11
graph_194_n20,alibaba/qwen-3.6-35b-a3b,6,13
graph_195_n20,google/gemma-4-26b-a4b,10,8
graph_195_n20,alibaba/qwen-3.6-35b-a3b,10,8
graph_196_n20,google/gemma-4-26b-a4b,5,14
graph_196_n20,alibaba/qwen-3.6-35b-a3b,6,14
graph_197_n20,google/gemma-4-26b-a4b,9,8
graph_197_n20,alibaba/qwen-3.6-35b-a3b,10,10
graph_198_n20,google/gemma-4-26b-a4b,9,8
graph_198_n20,alibaba/qwen-3.6-35b-a3b,9,9
graph_199_n20,google/gemma-4-26b-a4b,7,13
graph_199_n20,alibaba/qwen-3.6-35b-a3b,6,12
graph_200_n20,google/gemma-4-26b-a4b,11,9
graph_200_n20,alibaba/qwen-3.6-35b-a3b,12,8
graph_201_n21,google/gemma-4-26b-a4b,8,11
graph_201_n21,alibaba/qwen-3.6-35b-a3b,9,11
graph_202_n21,google/gemma-4-26b-a4b,8,11
graph_202_n21,alibaba/qwen-3.6-35b-a3b,10,11
graph_203_n21,google/gemma-4-26b-a4b,9,9
graph_203_n21,alibaba/qwen-3.6-35b-a3b,8,10
graph_204_n21,google/gemma-4-26b-a4b,8,9
graph_204_n21,alibaba/qwen-3.6-35b-a3b,8,10
graph_205_n21,google/gemma-4-26b-a4b,7,12
graph_205_n21,alibaba/qwen-3.6-35b-a3b,8,12
graph_206_n21,google/gemma-4-26b-a4b,11,8
graph_206_n21,alibaba/qwen-3.6-35b-a3b,10,12
graph_207_n21,google/gemma-4-26b-a4b,7,11
graph_207_n21,alibaba/qwen-3.6-35b-a3b,9,10
graph_208_n21,google/gemma-4-26b-a4b,9,10
graph_208_n21,alibaba/qwen-3.6-35b-a3b,10,9
graph_209_n21,google/gemma-4-26b-a4b,10,8
graph_209_n21,alibaba/qwen-3.6-35b-a3b,11,8
graph_210_n21,google/gemma-4-26b-a4b,9,8
graph_210_n21,alibaba/qwen-3.6-35b-a3b,11,10
graph_211_n22,google/gemma-4-26b-a4b,10,7
graph_211_n22,alibaba/qwen-3.6-35b-a3b,13,9
graph_212_n22,google/gemma-4-26b-a4b,8,10
graph_212_n22,alibaba/qwen-3.6-35b-a3b,11,10
graph_213_n22,google/gemma-4-26b-a4b,9,9
graph_213_n22,alibaba/qwen-3.6-35b-a3b,10,10
graph_214_n22,google/gemma-4-26b-a4b,11,6
graph_214_n22,alibaba/qwen-3.6-35b-a3b,7,8
graph_215_n22,google/gemma-4-26b-a4b,13,9
graph_215_n22,alibaba/qwen-3.6-35b-a3b,13,10
graph_216_n22,google/gemma-4-26b-a4b,14,6
graph_216_n22,alibaba/qwen-3.6-35b-a3b,13,7
graph_217_n22,google/gemma-4-26b-a4b,13,9
graph_217_n22,alibaba/qwen-3.6-35b-a3b,14,8
graph_218_n22,google/gemma-4-26b-a4b,9,10
graph_218_n22,alibaba/qwen-3.6-35b-a3b,10,11
graph_219_n22,google/gemma-4-26b-a4b,4,13
graph_219_n22,alibaba/qwen-3.6-35b-a3b,5,15
graph_220_n22,google/gemma-4-26b-a4b,7,11
graph_220_n22,alibaba/qwen-3.6-35b-a3b,8,12
graph_221_n23,google/gemma-4-26b-a4b,12,8
graph_221_n23,alibaba/qwen-3.6-35b-a3b,12,7
graph_222_n23,google/gemma-4-26b-a4b,5,15
graph_222_n23,alibaba/qwen-3.6-35b-a3b,3,17
graph_223_n23,google/gemma-4-26b-a4b,7,13
graph_223_n23,alibaba/qwen-3.6-35b-a3b,8,15
graph_224_n23,google/gemma-4-26b-a4b,7,12
graph_224_n23,alibaba/qwen-3.6-35b-a3b,9,13
graph_225_n23,google/gemma-4-26b-a4b,9,9
graph_225_n23,alibaba/qwen-3.6-35b-a3b,14,11
graph_226_n23,google/gemma-4-26b-a4b,13,8
graph_226_n23,alibaba/qwen-3.6-35b-a3b,13,9
graph_227_n23,google/gemma-4-26b-a4b,12,9
graph_227_n23,alibaba/qwen-3.6-35b-a3b,11,9
graph_228_n23,google/gemma-4-26b-a4b,14,3
graph_228_n23,alibaba/qwen-3.6-35b-a3b,18,7
graph_229_n23,google/gemma-4-26b-a4b,12,12
graph_229_n23,alibaba/qwen-3.6-35b-a3b,10,11
graph_230_n23,google/gemma-4-26b-a4b,13,6
graph_230_n23,alibaba/qwen-3.6-35b-a3b,13,7
graph_231_n24,google/gemma-4-26b-a4b,12,5
graph_231_n24,alibaba/qwen-3.6-35b-a3b,14,9
graph_232_n24,google/gemma-4-26b-a4b,10,8
graph_232_n24,alibaba/qwen-3.6-35b-a3b,12,11
graph_233_n24,google/gemma-4-26b-a4b,2,17
graph_233_n24,alibaba/qwen-3.6-35b-a3b,4,18
graph_234_n24,google/gemma-4-26b-a4b,15,6
graph_234_n24,alibaba/qwen-3.6-35b-a3b,16,5
graph_235_n24,google/gemma-4-26b-a4b,14,7
graph_235_n24,alibaba/qwen-3.6-35b-a3b,13,11
graph_236_n24,google/gemma-4-26b-a4b,13,6
graph_236_n24,alibaba/qwen-3.6-35b-a3b,15,8
graph_237_n24,google/gemma-4-26b-a4b,10,9
